"Row.Labels","top5cat"
"hotel_1","Italian:4|American:4|Bar / Lounge:3|Deli:2|Pizza:1"
"hotel_10","Deli:2|Seafood:1|Pizza:1|Italian:1|Fast Food:1"
"hotel_11","Italian:4|Coffee:3|American:3|Steakhouse:2|Pizza:2"
"hotel_12","Deli:5|American:4|Fast Food:2|Dessert:2|Steakhouse:1"
"hotel_13","American:6|Deli:5|Dessert:3|Steakhouse:1|Pizza:1"
"hotel_14","American:7|Deli:5|Pizza:3|Italian:3|Japanese:2"
"hotel_15","American:5|Deli:3|Pizza:2|Coffee:2|Steakhouse:1"
"hotel_16","Steakhouse:2|Pizza:2|American:2|Italian:1|Indian:1"
"hotel_17","American:4|Italian:3|French:2|Catering:2|Bar / Lounge:2"
"hotel_18","Italian:8|American:6|Steakhouse:2|Spanish:2|Japanese:2"
"hotel_19","Bar / Lounge:5|American:4|Italian:2|French:2|Catering:2"
"hotel_2","American:6|Dessert:3|Deli:3|Fast Food:2|Steakhouse:1"
"hotel_20","Bar / Lounge:6|American:5|Italian:3|French:3|Deli:2"
"hotel_21","American:6|Bar / Lounge:4|Italian:3|French:2|Deli:2"
"hotel_22","American:6|Bar / Lounge:4|Italian:3|French:2|Deli:2"
"hotel_23","Bar / Lounge:6|American:6|Italian:3|French:3|Deli:3"
"hotel_24","American:7|Deli:4|Bar / Lounge:4|Cuban:2|Catering:2"
"hotel_25","Bar / Lounge:6|American:6|Deli:4|Italian:3|French:3"
"hotel_26","American:7|Deli:4|Bar / Lounge:4|Cuban:2|Catering:2"
"hotel_27","American:5|Deli:3|Cuban:2|Bar / Lounge:2|Turkish:1"
"hotel_28","American:2|Italian:1|Catering:1|Vietnamese:|Turkish:"
"hotel_29","Steakhouse:2|Pizza:2|American:2|Italian:1|Indian:1"
"hotel_3","American:5|Italian:4|Bar / Lounge:4|French:2|Deli:2"
"hotel_30","American:3|Pizza:1|Mexican:1|Italian:1|Indian:1"
"hotel_31","Deli:4|American:4|Pizza:2|Italian:2|Dessert:2"
"hotel_32","Deli:3|American:2|Pizza:1|Japanese:1|Italian:1"
"hotel_33","Italian:4|American:3|Steakhouse:2|Japanese:2|Deli:2"
"hotel_34","American:4|Steakhouse:2|Pizza:1|Italian:1|Dessert:1"
"hotel_35","American:7|Deli:4|Bar / Lounge:4|Cuban:2|Catering:2"
"hotel_36","Deli:4|Italian:3|American:3|Catering:2|Bar / Lounge:2"
"hotel_37","American:7|Deli:4|Italian:2|Steakhouse:1|Consumables:1"
"hotel_38","Mexican:2|Deli:2|Chinese:2|Pizza:1|Italian:1"
"hotel_39","American:5|Italian:3|Deli:3|Pizza:1|Dessert:1"
"hotel_4","Italian:7|American:5|Deli:2|Coffee:2|Catering:2"
"hotel_40","Italian:7|Bar / Lounge:4|American:4|Deli:2|Vietnamese:1"
"hotel_41","American:5|Japanese:1|Italian:1|Deli:1|Coffee:1"
"hotel_5","Italian:3|Deli:3|Russian:2|Thai:1|Steakhouse:1"
"hotel_6","Deli:5|Italian:3|American:3|Steakhouse:1|Russian:1"
"hotel_7","American:4|Italian:3|Pizza:2|Deli:2|Bar / Lounge:2"
"hotel_8","American:3|Deli:2|Steakhouse:1|Pizza:1|Italian:1"
"hotel_9","American:5|Deli:3|Cuban:2|Bar / Lounge:2|Turkish:1"
